2026-04-01 15:07:09 | INFO     | PID:125500 | __main__:main:65 - 【System】Project path set to C:\Users\ziyji\Desktop\proj\OpenStory\examples\deduction.
2026-04-01 15:07:09 | INFO     | PID:125500 | __main__:main:71 - 【System】Loaded 50 locations from map.
2026-04-01 15:07:09 | INFO     | PID:125500 | __main__:main:103 - 【System】Init Ray with runtime env: {'working_dir': 'C:\\Users\\ziyji\\Desktop\\proj\\OpenStory\\examples\\deduction', 'env_vars': {'MAS_EVENT_LOG_DIR': 'C:\\Users\\ziyji\\Desktop\\proj\\OpenStory\\examples\\deduction', 'PYTHONPATH': 'C:\\Users\\ziyji\\Desktop\\proj\\OpenStory;C:\\Users\\ziyji\\Desktop\\proj\\OpenStory\\packages\\agentkernel-distributed;C:\\Users\\ziyji\\Desktop\\proj\\OpenStory\\packages\\agentkernel-standalone'}, 'excludes': ['*.pyc', '__pycache__', 'docs', 'info_extraction']}.
2026-04-01 15:07:21 | INFO     | PID:125500 | __main__:main:107 - 【System】Ray is initialized.
2026-04-01 15:07:21 | INFO     | PID:125500 | __main__:main:110 - 【System】Initialize the builder...
2026-04-01 15:07:21 | INFO     | PID:125500 | __main__:main:117 - 【System】Start all the simulation components...
2026-04-01 15:07:44 | INFO     | PID:125500 | __main__:main:153 - 【System】API Server started at http://0.0.0.0:8000
2026-04-01 15:07:44 | INFO     | PID:125500 | __main__:main:161 - 【System】Waiting for frontend signal to start Tick 0...
2026-04-01 15:08:59 | INFO     | PID:54124 | examples.deduction.BasicController:update_agents_status:27 - Updating agent status...
2026-04-01 15:08:59 | INFO     | PID:33944 | examples.deduction.BasicController:update_agents_status:27 - Updating agent status...
2026-04-01 15:08:59 | INFO     | PID:112852 | examples.deduction.BasicController:update_agents_status:27 - Updating agent status...
2026-04-01 15:08:59 | INFO     | PID:101868 | examples.deduction.BasicController:update_agents_status:27 - Updating agent status...
2026-04-01 15:08:59 | INFO     | PID:72352 | examples.deduction.BasicPodManager:update_agents_status:216 - Update agent status completed across all pods.
2026-04-01 15:08:59 | INFO     | PID:125500 | __main__:main:194 - 【Performance】--- Tick 0 Performance Report ---
2026-04-01 15:08:59 | INFO     | PID:125500 | __main__:main:195 - 【Performance】Total Tick Latency: 24.4007s
2026-04-01 15:08:59 | INFO     | PID:125500 | __main__:main:196 - 【Performance】 - Agent Step Latency (Concurrency Execution): 24.3853s (99.9%)
2026-04-01 15:08:59 | INFO     | PID:125500 | __main__:main:197 - 【Performance】 - Message Dispatch Latency: 0.0035s (0.0%)
2026-04-01 15:08:59 | INFO     | PID:125500 | __main__:main:198 - 【Performance】 - Status Update Latency: 0.0119s (0.0%)
2026-04-01 15:08:59 | INFO     | PID:125500 | __main__:main:199 - 【System】--- Tick 0 finished in 24.4007 seconds ---
2026-04-01 15:08:59 | INFO     | PID:125500 | __main__:main:203 - 【System】Collecting agents data for Tick 0...
2026-04-01 15:08:59 | INFO     | PID:125500 | __main__:main:208 - 【System】Broadcasting data for Tick 0 (agents count: 28)...
2026-04-01 15:08:59 | INFO     | PID:125500 | __main__:main:213 - 【Performance】 - Data Collection Latency: 0.3274s
2026-04-01 15:08:59 | INFO     | PID:125500 | __main__:main:214 - 【Performance】 - WS Broadcast Latency: 0.0031s
2026-04-01 15:08:59 | INFO     | PID:125500 | __main__:main:215 - 【Performance】-----------------------------------------
2026-04-01 15:08:59 | INFO     | PID:125500 | __main__:main:216 - 【System】Tick 0 data broadcasted to frontend.
2026-04-01 15:08:59 | INFO     | PID:125500 | __main__:main:161 - 【System】Waiting for frontend signal to start Tick 1...
2026-04-01 15:29:43 | INFO     | PID:125500 | __main__:main:244 - 【System】Pod Manager close result is True
2026-04-01 15:29:43 | INFO     | PID:125500 | __main__:main:247 - 【System】System close result is True
2026-04-01 15:29:44 | INFO     | PID:125500 | __main__:<module>:255 - 【System】Simulation interrupted by user. Exiting.
2026-04-01 15:29:44 | INFO     | PID:125500 | __main__:<module>:257 - 【System】Simulation ended.
2026-04-01 15:30:16 | INFO     | PID:125716 | __main__:main:65 - 【System】Project path set to C:\Users\ziyji\Desktop\proj\OpenStory\examples\deduction.
2026-04-01 15:30:16 | INFO     | PID:125716 | __main__:main:71 - 【System】Loaded 50 locations from map.
2026-04-01 15:30:16 | INFO     | PID:125716 | __main__:main:103 - 【System】Init Ray with runtime env: {'working_dir': 'C:\\Users\\ziyji\\Desktop\\proj\\OpenStory\\examples\\deduction', 'env_vars': {'MAS_EVENT_LOG_DIR': 'C:\\Users\\ziyji\\Desktop\\proj\\OpenStory\\examples\\deduction', 'PYTHONPATH': 'C:\\Users\\ziyji\\Desktop\\proj\\OpenStory;C:\\Users\\ziyji\\Desktop\\proj\\OpenStory\\packages\\agentkernel-distributed;C:\\Users\\ziyji\\Desktop\\proj\\OpenStory\\packages\\agentkernel-standalone'}, 'excludes': ['*.pyc', '__pycache__', 'docs', 'info_extraction']}.
2026-04-01 15:30:25 | INFO     | PID:125716 | __main__:main:107 - 【System】Ray is initialized.
2026-04-01 15:30:25 | INFO     | PID:125716 | __main__:main:110 - 【System】Initialize the builder...
2026-04-01 15:30:25 | INFO     | PID:125716 | __main__:main:117 - 【System】Start all the simulation components...
