2026-04-01 15:07:26 | INFO     | PID:72352 | agentkernel_distributed.toolkit.storages.connection_pools:create_connection_pools:33 - Creating connection pool 'default_redis' for db type 'redis'...
2026-04-01 15:07:26 | INFO     | PID:72352 | agentkernel_distributed.toolkit.storages.connection_pools:create_connection_pools:45 - Redis pool 'default_redis' created successfully.
2026-04-01 15:07:35 | INFO     | PID:54124 | agentkernel_distributed.toolkit.storages.connection_pools:create_connection_pools:33 - Creating connection pool 'default_redis' for db type 'redis'...
2026-04-01 15:07:35 | INFO     | PID:54124 | agentkernel_distributed.toolkit.storages.connection_pools:create_connection_pools:45 - Redis pool 'default_redis' created successfully.
2026-04-01 15:07:35 | INFO     | PID:112852 | agentkernel_distributed.toolkit.storages.connection_pools:create_connection_pools:33 - Creating connection pool 'default_redis' for db type 'redis'...
2026-04-01 15:07:35 | INFO     | PID:112852 | agentkernel_distributed.toolkit.storages.connection_pools:create_connection_pools:45 - Redis pool 'default_redis' created successfully.
2026-04-01 15:07:35 | INFO     | PID:101868 | agentkernel_distributed.toolkit.storages.connection_pools:create_connection_pools:33 - Creating connection pool 'default_redis' for db type 'redis'...
2026-04-01 15:07:35 | INFO     | PID:101868 | agentkernel_distributed.toolkit.storages.connection_pools:create_connection_pools:45 - Redis pool 'default_redis' created successfully.
2026-04-01 15:07:35 | INFO     | PID:124676 | agentkernel_distributed.toolkit.storages.connection_pools:create_connection_pools:33 - Creating connection pool 'default_redis' for db type 'redis'...
2026-04-01 15:07:35 | INFO     | PID:124676 | agentkernel_distributed.toolkit.storages.connection_pools:create_connection_pools:45 - Redis pool 'default_redis' created successfully.
2026-04-01 15:07:35 | INFO     | PID:33944 | agentkernel_distributed.toolkit.storages.connection_pools:create_connection_pools:33 - Creating connection pool 'default_redis' for db type 'redis'...
2026-04-01 15:07:35 | INFO     | PID:33944 | agentkernel_distributed.toolkit.storages.connection_pools:create_connection_pools:45 - Redis pool 'default_redis' created successfully.
2026-04-01 15:07:37 | INFO     | PID:52508 | agentkernel_distributed.toolkit.storages.connection_pools:create_connection_pools:33 - Creating connection pool 'default_redis' for db type 'redis'...
2026-04-01 15:07:37 | INFO     | PID:52508 | agentkernel_distributed.toolkit.storages.connection_pools:create_connection_pools:45 - Redis pool 'default_redis' created successfully.
2026-04-01 15:29:43 | INFO     | PID:54124 | agentkernel_distributed.toolkit.storages.connection_pools:close_connection_pools:79 - Closing all database connection pools...
2026-04-01 15:29:43 | INFO     | PID:54124 | agentkernel_distributed.toolkit.storages.connection_pools:close_single_pool:107 - Closing connection pool 'default_redis'...
2026-04-01 15:29:43 | INFO     | PID:112852 | agentkernel_distributed.toolkit.storages.connection_pools:close_connection_pools:79 - Closing all database connection pools...
2026-04-01 15:29:43 | INFO     | PID:112852 | agentkernel_distributed.toolkit.storages.connection_pools:close_single_pool:107 - Closing connection pool 'default_redis'...
2026-04-01 15:29:43 | INFO     | PID:54124 | agentkernel_distributed.toolkit.storages.connection_pools:close_single_pool:115 - Connection pool 'default_redis' closed successfully.
2026-04-01 15:29:43 | INFO     | PID:101868 | agentkernel_distributed.toolkit.storages.connection_pools:close_connection_pools:79 - Closing all database connection pools...
2026-04-01 15:29:43 | INFO     | PID:54124 | agentkernel_distributed.toolkit.storages.connection_pools:close_connection_pools:94 - All database connection pools have been closed.
2026-04-01 15:29:43 | INFO     | PID:101868 | agentkernel_distributed.toolkit.storages.connection_pools:close_single_pool:107 - Closing connection pool 'default_redis'...

2026-04-01 15:29:43 | INFO     | PID:112852 | agentkernel_distributed.toolkit.storages.connection_pools:close_single_pool:115 - Connection pool 'default_redis' closed successfully.
2026-04-01 15:29:43 | INFO     | PID:112852 | agentkernel_distributed.toolkit.storages.connection_pools:close_connection_pools:94 - All database connection pools have been closed.
2026-04-01 15:29:43 | INFO     | PID:33944 | agentkernel_distributed.toolkit.storages.connection_pools:close_connection_pools:79 - Closing all database connection pools...
2026-04-01 15:29:43 | INFO     | PID:33944 | agentkernel_distributed.toolkit.storages.connection_pools:close_single_pool:107 - Closing connection pool 'default_redis'...
2026-04-01 15:29:43 | INFO     | PID:101868 | agentkernel_distributed.toolkit.storages.connection_pools:close_single_pool:115 - Connection pool 'default_redis' closed successfully.
2026-04-01 15:29:43 | INFO     | PID:124676 | agentkernel_distributed.toolkit.storages.connection_pools:close_single_pool:115 - Connection pool 'default_redis' closed successfully.
2026-04-01 15:29:43 | INFO     | PID:101868 | agentkernel_distributed.toolkit.storages.connection_pools:close_connection_pools:94 - All database connection pools have been closed.
2026-04-01 15:29:43 | INFO     | PID:124676 | agentkernel_distributed.toolkit.storages.connection_pools:close_connection_pools:94 - All database connection pools have been closed.
2026-04-01 15:29:43 | INFO     | PID:33944 | agentkernel_distributed.toolkit.storages.connection_pools:close_single_pool:115 - Connection pool 'default_redis' closed successfully.
2026-04-01 15:29:43 | INFO     | PID:33944 | agentkernel_distributed.toolkit.storages.connection_pools:close_connection_pools:94 - All database connection pools have been closed.
2026-04-01 15:29:43 | INFO     | PID:52508 | agentkernel_distributed.toolkit.storages.connection_pools:close_connection_pools:79 - Closing all database connection pools...
2026-04-01 15:29:43 | INFO     | PID:52508 | agentkernel_distributed.toolkit.storages.connection_pools:close_single_pool:107 - Closing connection pool 'default_redis'...
2026-04-01 15:29:43 | INFO     | PID:52508 | agentkernel_distributed.toolkit.storages.connection_pools:close_single_pool:115 - Connection pool 'default_redis' closed successfully.
2026-04-01 15:29:43 | INFO     | PID:52508 | agentkernel_distributed.toolkit.storages.connection_pools:close_connection_pools:94 - All database connection pools have been closed.
2026-04-01 15:29:43 | INFO     | PID:72352 | agentkernel_distributed.toolkit.storages.connection_pools:close_connection_pools:79 - Closing all database connection pools...
2026-04-01 15:29:43 | INFO     | PID:72352 | agentkernel_distributed.toolkit.storages.connection_pools:close_single_pool:107 - Closing connection pool 'default_redis'...
2026-04-01 15:29:43 | INFO     | PID:72352 | agentkernel_distributed.toolkit.storages.connection_pools:close_single_pool:115 - Connection pool 'default_redis' closed successfully.
2026-04-01 15:29:43 | INFO     | PID:72352 | agentkernel_distributed.toolkit.storages.connection_pools:close_connection_pools:94 - All database connection pools have been closed.
2026-04-01 15:30:29 | INFO     | PID:58604 | agentkernel_distributed.toolkit.storages.connection_pools:create_connection_pools:33 - Creating connection pool 'default_redis' for db type 'redis'...
2026-04-01 15:30:29 | INFO     | PID:58604 | agentkernel_distributed.toolkit.storages.connection_pools:create_connection_pools:45 - Redis pool 'default_redis' created successfully.
2026-04-01 15:30:38 | INFO     | PID:68848 | agentkernel_distributed.toolkit.storages.connection_pools:create_connection_pools:33 - Creating connection pool 'default_redis' for db type 'redis'...
2026-04-01 15:30:38 | INFO     | PID:68848 | agentkernel_distributed.toolkit.storages.connection_pools:create_connection_pools:45 - Redis pool 'default_redis' created successfully.
2026-04-01 15:30:38 | INFO     | PID:128936 | agentkernel_distributed.toolkit.storages.connection_pools:create_connection_pools:33 - Creating connection pool 'default_redis' for db type 'redis'...
2026-04-01 15:30:38 | INFO     | PID:128936 | agentkernel_distributed.toolkit.storages.connection_pools:create_connection_pools:45 - Redis pool 'default_redis' created successfully.
2026-04-01 15:30:38 | INFO     | PID:129844 | agentkernel_distributed.toolkit.storages.connection_pools:create_connection_pools:33 - Creating connection pool 'default_redis' for db type 'redis'...
2026-04-01 15:30:38 | INFO     | PID:129844 | agentkernel_distributed.toolkit.storages.connection_pools:create_connection_pools:45 - Redis pool 'default_redis' created successfully.
2026-04-01 15:30:38 | INFO     | PID:101552 | agentkernel_distributed.toolkit.storages.connection_pools:create_connection_pools:33 - Creating connection pool 'default_redis' for db type 'redis'...
2026-04-01 15:30:38 | INFO     | PID:101552 | agentkernel_distributed.toolkit.storages.connection_pools:create_connection_pools:45 - Redis pool 'default_redis' created successfully.
2026-04-01 15:30:38 | INFO     | PID:98192 | agentkernel_distributed.toolkit.storages.connection_pools:create_connection_pools:33 - Creating connection pool 'default_redis' for db type 'redis'...
2026-04-01 15:30:38 | INFO     | PID:98192 | agentkernel_distributed.toolkit.storages.connection_pools:create_connection_pools:45 - Redis pool 'default_redis' created successfully.
2026-04-01 15:30:40 | INFO     | PID:124292 | agentkernel_distributed.toolkit.storages.connection_pools:create_connection_pools:33 - Creating connection pool 'default_redis' for db type 'redis'...
2026-04-01 15:30:40 | INFO     | PID:124292 | agentkernel_distributed.toolkit.storages.connection_pools:create_connection_pools:45 - Redis pool 'default_redis' created successfully.
